Depth_m,Production_flow_m3s,Injected_water_m3s,Total_flow_m3s,Velocity_m_s,Reynolds,Friction_factor,Pressure_gravity_Pa,Pressure_friction_Pa,Total_pressure_Pa
0,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,0,26.4079313,100000
5,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,41692.5,52.8158626,141718.9079
10,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,83385,79.22379389,183437.8159
15,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,125077.5,105.6317252,225156.7238
20,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,166770,132.0396565,266875.6317
25,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,208462.5,158.4475878,308594.5397
30,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,250155,184.8555191,350313.4476
35,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,291847.5,211.2634504,392032.3555
40,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,333540,237.6713817,433751.2635
45,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,375232.5,264.079313,475470.1714
50,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,416925,290.4872443,517189.0793
55,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,458617.5,316.8951756,558907.9872
60,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,500310,343.3031069,600626.8952
65,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,542002.5,369.7110382,642345.8031
70,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,583695,396.1189695,684064.711
75,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,625387.5,422.5269008,725783.619
80,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,667080,448.9348321,767502.5269
85,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,708772.5,475.3427634,809221.4348
90,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,750465,501.7506947,850940.3428
95,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,792157.5,528.158626,892659.2507
100,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,833850,554.5665573,934378.1586
105,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,875542.5,580.9744886,976097.0666
110,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,917235,607.3824199,1017815.974
115,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,958927.5,633.7903512,1059534.882
120,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1000620,660.1982825,1101253.79
125,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1042312.5,686.6062138,1142972.698
130,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1084005,713.0141451,1184691.606
135,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1125697.5,739.4220763,1226410.514
140,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1167390,765.8300076,1268129.422
145,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1209082.5,792.2379389,1309848.33
150,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1250775,818.6458702,1351567.238
155,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1292467.5,845.0538015,1393286.146
160,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1334160,871.4617328,1435005.054
165,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1375852.5,897.8696641,1476723.962
170,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1417545,924.2775954,1518442.87
175,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1459237.5,950.6855267,1560161.778
180,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1500930,977.093458,1601880.686
185,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1542622.5,1003.501389,1643599.593
190,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1584315,1029.909321,1685318.501
195,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1626007.5,1056.317252,1727037.409
200,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1667700,1082.725183,1768756.317
205,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1709392.5,1109.133115,1810475.225
210,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1751085,1135.541046,1852194.133
215,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1792777.5,1161.948977,1893913.041
220,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1834470,1188.356908,1935631.949
225,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1876162.5,1214.76484,1977350.857
230,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1917855,1241.172771,2019069.765
235,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,1959547.5,1267.580702,2060788.673
240,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2001240,1293.988634,2102507.581
245,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2042932.5,1320.396565,2144226.489
250,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2084625,1346.804496,2185945.397
255,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2126317.5,1373.212428,2227664.304
260,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2168010,1399.620359,2269383.212
265,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2209702.5,1426.02829,2311102.12
270,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2251395,1452.436221,2352821.028
275,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2293087.5,1478.844153,2394539.936
280,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2334780,1505.252084,2436258.844
285,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2376472.5,1531.660015,2477977.752
290,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2418165,1558.067947,2519696.66
295,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2459857.5,1584.475878,2561415.568
300,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2501550,1610.883809,2603134.476
305,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2543242.5,1637.29174,2644853.384
310,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2584935,1663.699672,2686572.292
315,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2626627.5,1690.107603,2728291.2
320,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2668320,1716.515534,2770010.108
325,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2710012.5,1742.923466,2811729.016
330,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2751705,1769.331397,2853447.923
335,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2793397.5,1795.739328,2895166.831
340,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2835090,1822.14726,2936885.739
345,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2876782.5,1848.555191,2978604.647
350,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2918475,1874.963122,3020323.555
355,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,2960167.5,1901.371053,3062042.463
360,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3001860,1927.778985,3103761.371
365,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3043552.5,1954.186916,3145480.279
370,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3085245,1980.594847,3187199.187
375,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3126937.5,2007.002779,3228918.095
380,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3168630,2033.41071,3270637.003
385,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3210322.5,2059.818641,3312355.911
390,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3252015,2086.226573,3354074.819
395,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3293707.5,2112.634504,3395793.727
400,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3335400,2139.042435,3437512.635
405,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3377092.5,2165.450366,3479231.542
410,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3418785,2191.858298,3520950.45
415,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3460477.5,2218.266229,3562669.358
420,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3502170,2244.67416,3604388.266
425,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3543862.5,2271.082092,3646107.174
430,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3585555,2297.490023,3687826.082
435,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3627247.5,2323.897954,3729544.99
440,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3668940,2350.305886,3771263.898
445,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3710632.5,2376.713817,3812982.806
450,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3752325,2403.121748,3854701.714
455,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3794017.5,2429.529679,3896420.622
460,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3835710,2455.937611,3938139.53
465,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3877402.5,2482.345542,3979858.438
470,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3919095,2508.753473,4021577.346
475,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,3960787.5,2535.161405,4063296.253
480,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4002480,2561.569336,4105015.161
485,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4044172.5,2587.977267,4146734.069
490,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4085865,2614.385199,4188452.977
495,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4127557.5,2640.79313,4230171.885
500,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4169250,2667.201061,4271890.793
505,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4210942.5,2693.608992,4313609.701
510,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4252635,2720.016924,4355328.609
515,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4294327.5,2746.424855,4397047.517
520,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4336020,2772.832786,4438766.425
525,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4377712.5,2799.240718,4480485.333
530,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4419405,2825.648649,4522204.241
535,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4461097.5,2852.05658,4563923.149
540,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4502790,2878.464512,4605642.057
545,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4544482.5,2904.872443,4647360.965
550,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4586175,2931.280374,4689079.872
555,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4627867.5,2957.688305,4730798.78
560,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4669560,2984.096237,4772517.688
565,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4711252.5,3010.504168,4814236.596
570,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4752945,3036.912099,4855955.504
575,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4794637.5,3063.320031,4897674.412
580,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4836330,3089.727962,4939393.32
585,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4878022.5,3116.135893,4981112.228
590,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4919715,3142.543824,5022831.136
595,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,4961407.5,3168.951756,5064550.044
600,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5003100,3195.359687,5106268.952
605,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5044792.5,3221.767618,5147987.86
610,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5086485,3248.17555,5189706.768
615,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5128177.5,3274.583481,5231425.676
620,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5169870,3300.991412,5273144.583
625,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5211562.5,3327.399344,5314863.491
630,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5253255,3353.807275,5356582.399
635,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5294947.5,3380.215206,5398301.307
640,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5336640,3406.623137,5440020.215
645,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5378332.5,3433.031069,5481739.123
650,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5420025,3459.439,5523458.031
655,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5461717.5,3485.846931,5565176.939
660,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5503410,3512.254863,5606895.847
665,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5545102.5,3538.662794,5648614.755
670,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5586795,3565.070725,5690333.663
675,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5628487.5,3591.478657,5732052.571
680,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5670180,3617.886588,5773771.479
685,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5711872.5,3644.294519,5815490.387
690,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5753565,3670.70245,5857209.295
695,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5795257.5,3697.110382,5898928.202
700,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5836950,3723.518313,5940647.11
705,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5878642.5,3749.926244,5982366.018
710,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5920335,3776.334176,6024084.926
715,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,5962027.5,3802.742107,6065803.834
720,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6003720,3829.150038,6107522.742
725,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6045412.5,3855.55797,6149241.65
730,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6087105,3881.965901,6190960.558
735,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6128797.5,3908.373832,6232679.466
740,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6170490,3934.781763,6274398.374
745,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6212182.5,3961.189695,6316117.282
750,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6253875,3987.597626,6357836.19
755,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6295567.5,4014.005557,6399555.098
760,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6337260,4040.413489,6441274.006
765,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6378952.5,4066.82142,6482992.913
770,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6420645,4093.229351,6524711.821
775,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6462337.5,4119.637283,6566430.729
780,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6504030,4146.045214,6608149.637
785,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6545722.5,4172.453145,6649868.545
790,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6587415,4198.861076,6691587.453
795,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6629107.5,4225.269008,6733306.361
800,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6670800,4251.676939,6775025.269
805,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6712492.5,4278.08487,6816744.177
810,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6754185,4304.492802,6858463.085
815,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6795877.5,4330.900733,6900181.993
820,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6837570,4357.308664,6941900.901
825,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6879262.5,4383.716596,6983619.809
830,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6920955,4410.124527,7025338.717
835,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,6962647.5,4436.532458,7067057.625
840,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7004340,4462.940389,7108776.532
845,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7046032.5,4489.348321,7150495.44
850,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7087725,4515.756252,7192214.348
855,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7129417.5,4542.164183,7233933.256
860,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7171110,4568.572115,7275652.164
865,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7212802.5,4594.980046,7317371.072
870,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7254495,4621.387977,7359089.98
875,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7296187.5,4647.795908,7400808.888
880,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7337880,4674.20384,7442527.796
885,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7379572.5,4700.611771,7484246.704
890,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7421265,4727.019702,7525965.612
895,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7462957.5,4753.427634,7567684.52
900,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7504650,4779.835565,7609403.428
905,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7546342.5,4806.243496,7651122.336
910,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7588035,4832.651428,7692841.243
915,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7629727.5,4859.059359,7734560.151
920,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7671420,4885.46729,7776279.059
925,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7713112.5,4911.875221,7817997.967
930,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7754805,4938.283153,7859716.875
935,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7796497.5,4964.691084,7901435.783
940,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7838190,4991.099015,7943154.691
945,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7879882.5,5017.506947,7984873.599
950,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7921575,5043.914878,8026592.507
955,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,7963267.5,5070.322809,8068311.415
960,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8004960,5096.730741,8110030.323
965,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8046652.5,5123.138672,8151749.231
970,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8088345,5149.546603,8193468.139
975,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8130037.5,5175.954534,8235187.047
980,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8171730,5202.362466,8276905.955
985,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8213422.5,5228.770397,8318624.862
990,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8255115,5255.178328,8360343.77
995,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8296807.5,5281.58626,8402062.678
1000,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8338500,5307.994191,8443781.586
1005,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8380192.5,5334.402122,8485500.494
1010,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8421885,5360.810054,8527219.402
1015,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8463577.5,5387.217985,8568938.31
1020,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8505270,5413.625916,8610657.218
1025,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8546962.5,5440.033847,8652376.126
1030,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8588655,5466.441779,8694095.034
1035,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8630347.5,5492.84971,8735813.942
1040,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8672040,5519.257641,8777532.85
1045,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8713732.5,5545.665573,8819251.758
